user_idx,book_idx,predicted_rating
148,264004,0.9522561
148,83345,0.9522561
148,257350,0.9522561
148,217872,0.9522561
148,267122,0.9522561
148,257569,0.9522561
148,4504,0.94381785
148,121408,0.94381785
148,195521,0.94381785
148,281140,0.94381785
463,264282,1.577488
463,310380,1.577488
463,145402,1.577488
463,107242,1.5382417
463,238754,1.5382417
463,163027,1.4913632
463,195448,1.4913632
463,220855,1.4593005
463,212631,1.4593005
463,205954,1.4593005
471,244915,1.0643169
471,244256,1.0643169
471,35601,1.0607474
471,28638,1.0607474
471,83492,1.0607474
471,28691,1.0607474
471,210741,1.0205889
471,210732,1.0205889
471,228822,1.0205889
471,82820,1.0205889
496,98983,1.5785085
496,179453,1.5467638
496,217600,1.5467638
496,168602,1.5348282
496,235027,1.5194111
496,197246,1.5134276
496,163437,1.5115486
496,267459,1.5115486
496,262103,1.5065805
496,274261,1.5065805
833,217595,0.913223
833,155220,0.8909539
833,39880,0.8909539
833,196590,0.8909539
833,37424,0.88316816
833,91667,0.85770726
833,5770,0.8474019
833,323705,0.84370744
833,266576,0.84370744
833,316510,0.84370744
1238,189972,1.6280518
1238,242660,1.6280518
1238,273088,1.5275711
1238,226258,1.5009177
1238,218717,1.4786437
1238,322751,1.4660784
1238,259910,1.4652466
1238,12351,1.4479746
1238,82272,1.4479746
1238,89730,1.4479746
1342,240867,1.2657125
1342,92919,1.263556
1342,266019,1.263556
1342,227177,1.2617114
1342,26953,1.2617114
1342,310716,1.209334
1342,232877,1.2082577
1342,73344,1.2015283
1342,199910,1.1931822
1342,76315,1.1783806
1580,288254,0.67032254
1580,261393,0.67032254
1580,224515,0.67032254
1580,229016,0.67032254
1580,46162,0.67032254
1580,165864,0.67032254
1580,220559,0.67032254
1580,212130,0.6644882
1580,9041,0.66158295
1580,196590,0.6395115
1591,338685,1.2357527
1591,297154,1.2200184
1591,306539,1.2200184
1591,189723,1.2033758
1591,195448,1.1731786
1591,163027,1.1731786
1591,138115,1.1628518
1591,37944,1.1509473
1591,306343,1.1273644
1591,235464,1.1202334
1829,46440,0.0
1829,46450,0.0
1829,46460,0.0
1829,46470,0.0
1829,46480,0.0
1829,46500,0.0
1829,46510,0.0
1829,46520,0.0
1829,46530,0.0
1829,46540,0.0
1959,96244,1.302269
1959,157478,1.2782612
1959,235887,1.2782612
1959,108547,1.2782612
1959,276514,1.2782612
1959,174425,1.2782612
1959,235824,1.2782612
1959,255872,1.2782612
1959,120803,1.2782612
1959,242129,1.2782612
2122,269347,1.2043964
2122,141674,1.2043964
2122,185256,1.2043964
2122,243668,1.2043964
2122,202975,1.2043964
2122,275259,1.2043964
2122,113232,1.1737778
2122,4019,1.1737778
2122,186155,1.1537026
2122,28561,1.151258
2142,48038,1.4124829
2142,31013,1.3704803
2142,212130,1.3308334
2142,72432,1.3083351
2142,79559,1.3083351
2142,273088,1.2872496
2142,254634,1.2851189
2142,128776,1.2851189
2142,17999,1.2824821
2142,155220,1.2558637
2366,46142,1.3052657
2366,174525,1.3052657
2366,102410,1.3052657
2366,88831,1.285007
2366,181625,1.263209
2366,127899,1.263209
2366,31013,1.2424849
2366,253536,1.2238331
2366,48038,1.2179718
2366,98983,1.2122355
2659,148787,1.3101739
2659,273088,1.272056
2659,240791,1.2390778
2659,205714,1.2390778
